ND6TRAN|salesinvoice|attribute|salesmanID|salesorderNumber|salesorderDate|invoiceNumber|invoiceDate|term|soldtoCustomerID|senttoCustomerID|invoicedtoCustomerID|customerPO|sellingType|documentType|cashPayment|giroPayment|giroNumber|giroBank|giroDue|adjustmentAmount|discount1|discount2|discount3|tax1|tax2|tax3|productCode|productvarianCode|qtySold|qtyFreeGood|sellingPrice|lineDiscount1|lineDiscount2|lineDiscount3|lineDiscount4|lineDiscount5|companyID|branchID|divisionID|warehouseID|lineGrossAmount|lineDiscountAmount1|lineDiscountAmount2|lineDiscountAmount3|lineDiscountAmount4|lineDiscountAmount5|discountAmount1|discountAmount2|discountAmount3|taxAmount1|taxAmount2|taxAmount3|lineNetAmount|conversion1to4|conversion2to4|conversion3to4|unitCost|manualPO|promotionID|referenceNumber|isSKU
ND6TRAN|salesinvoice|value|SLS002|SO2412744274|2024-12-07|SI241243197|2024-12-09|13|F160366|F160366|F160366|SLS002-00124120000000018043|TO||0|0||||0|0|0|0|11|0|0|CC-MGR-36|-|6|0|195945.95|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|32657.66|0|0|0|0|0|0|0|0|3592.3426|0|0|36250.0026|36|1|1|0|SLS002-00124120000000018043|||N
ND6TRAN|salesinvoice|value|SLS002|SO2412744274|2024-12-07|SI241243197|2024-12-09|13|F160366|F160366|F160366|SLS002-00124120000000018043|TO||0|0||||0|0|0|0|11|0|0|CC-SHP-36|-|6|0|195945.95|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|32657.66|0|0|0|0|0|0|0|0|3592.3426|0|0|36250.0026|36|1|1|0|SLS002-00124120000000018043|||N
ND6TRAN|salesinvoice|value|SLS002|SO2412744274|2024-12-07|SI241243197|2024-12-09|13|F160366|F160366|F160366|SLS002-00124120000000018043|TO||0|0||||0|0|0|0|11|0|0|MB-ATB-24|-|4|0|121171.17|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|20195.2|0|0|0|0|0|0|0|0|2221.472|0|0|22416.672|24|1|1|0|SLS002-00124120000000018043|||N
ND6TRAN|salesinvoice|value|SLS002|SO2412744275|2024-12-07|SI241243198|2024-12-09|13|F1618915|F1618915|F1618915|SLS002-00124120000000019071|TO||0|0||||0|0|0|0|11|0|0|CC-MGR-36|-|6|0|195945.95|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|32657.66|0|0|0|0|0|0|0|0|3592.3426|0|0|36250.0026|36|1|1|0|SLS002-00124120000000019071|||N
ND6TRAN|salesinvoice|value|SLS002|SO2412744275|2024-12-07|SI241243198|2024-12-09|13|F1618915|F1618915|F1618915|SLS002-00124120000000019071|TO||0|0||||0|0|0|0|11|0|0|CC-SHP-36|-|6|0|195945.95|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|32657.66|0|0|0|0|0|0|0|0|3592.3426|0|0|36250.0026|36|1|1|0|SLS002-00124120000000019071|||N
ND6TRAN|salesinvoice|value|SLS002|SO2412744275|2024-12-07|SI241243198|2024-12-09|13|F1618915|F1618915|F1618915|SLS002-00124120000000019071|TO||0|0||||0|0|0|0|11|0|0|MB-ATB-24|-|12|0|121171.17|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|60585.59|0|0|0|0|0|0|0|0|6664.4149|0|0|67250.0049|24|1|1|0|SLS002-00124120000000019071|||N
ND6TRAN|salesinvoice|value|SLS002|SO2412744276|2024-12-07|SI241243199|2024-12-09|13|F1619238|F1619238|F1619238|SLS002-00124120000000019101|TO||0|0||||0|0|0|0|11|0|0|CC-CCK-36|-|6|0|195945.95|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|32657.66|0|0|0|0|0|0|0|0|3592.3426|0|0|36250.0026|36|1|1|0|SLS002-00124120000000019101|||N
ND6TRAN|salesinvoice|value|SLS002|SO2412744276|2024-12-07|SI241243199|2024-12-09|13|F1619238|F1619238|F1619238|SLS002-00124120000000019101|TO||0|0||||0|0|0|0|11|0|0|CC-KLP-36|-|6|0|195945.95|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|32657.66|0|0|0|0|0|0|0|0|3592.3426|0|0|36250.0026|36|1|1|0|SLS002-00124120000000019101|||N
ND6TRAN|salesinvoice|value|SLS002|SO2412744276|2024-12-07|SI241243199|2024-12-09|13|F1619238|F1619238|F1619238|SLS002-00124120000000019101|TO||0|0||||0|0|0|0|11|0|0|CC-MGR-36|-|6|0|195945.95|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|32657.66|0|0|0|0|0|0|0|0|3592.3426|0|0|36250.0026|36|1|1|0|SLS002-00124120000000019101|||N
ND6TRAN|salesinvoice|value|SLS002|SO2412744276|2024-12-07|SI241243199|2024-12-09|13|F1619238|F1619238|F1619238|SLS002-00124120000000019101|TO||0|0||||0|0|0|0|11|0|0|CC-SHP-36|-|1|0|195945.95|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|5442.94|0|0|0|0|0|0|0|0|598.7234|0|0|6041.6634|36|1|1|0|SLS002-00124120000000019101|||N
