ND6TRAN|salesinvoice|attribute|salesmanID|salesorderNumber|salesorderDate|invoiceNumber|invoiceDate|term|soldtoCustomerID|senttoCustomerID|invoicedtoCustomerID|customerPO|sellingType|documentType|cashPayment|giroPayment|giroNumber|giroBank|giroDue|adjustmentAmount|discount1|discount2|discount3|tax1|tax2|tax3|productCode|productvarianCode|qtySold|qtyFreeGood|sellingPrice|lineDiscount1|lineDiscount2|lineDiscount3|lineDiscount4|lineDiscount5|companyID|branchID|divisionID|warehouseID|lineGrossAmount|lineDiscountAmount1|lineDiscountAmount2|lineDiscountAmount3|lineDiscountAmount4|lineDiscountAmount5|discountAmount1|discountAmount2|discountAmount3|taxAmount1|taxAmount2|taxAmount3|lineNetAmount|conversion1to4|conversion2to4|conversion3to4|unitCost|manualPO|promotionID|referenceNumber|isSKU
ND6TRAN|salesinvoice|value|SLS012|SO2501166093|2025-01-07|SI2501162150|2025-01-08|12|CST4713|CST4713|CST4713||TO||0.0|0.0||||0.0|0.0|0.0|0.0|11.0|0.0|0.0|CR-DRN-21|-|63|21|98198.20|0.0|0.0|0.0|20270.27|0.0|NS6033040001908|1545983161604|1545983645652|STNDRSATP|294594.60|0.00|0.00|0.00|20270.27|0.00|0.00|0.00|0.00|30175.68|0.00|0.00|304500.01|21|7|1|0.00||PRM250105242,PRM250105243|153/ASW/BSM/XII/24,153/ASW/BSM/XII/24|N
ND6TRAN|salesinvoice|value|SLS012|SO2501166093|2025-01-07|SI2501162150|2025-01-08|12|CST4713|CST4713|CST4713||TO||0.0|0.0||||0.0|0.0|0.0|0.0|11.0|0.0|0.0|CR-LMM-21|-|63|0|98198.20|0.0|0.0|0.0|20270.27|0.0|NS6033040001908|1545983161604|1545983645652|STNDRSATP|294594.60|0.00|0.00|0.00|20270.27|0.00|0.00|0.00|0.00|30175.68|0.00|0.00|304500.01|21|7|1|0.00||PRM250105242|153/ASW/BSM/XII/24|N
ND6TRAN|salesinvoice|value|SLS012|SO2501166093|2025-01-07|SI2501162150|2025-01-08|12|CST4713|CST4713|CST4713||TO||0.0|0.0||||0.0|0.0|0.0|0.0|11.0|0.0|0.0|CR-ORG-21|-|63|0|98198.20|0.0|0.0|0.0|20270.27|0.0|NS6033040001908|1545983161604|1545983645652|STNDRSATP|294594.60|0.00|0.00|0.00|20270.27|0.00|0.00|0.00|0.00|30175.68|0.00|0.00|304500.01|21|7|1|0.00||PRM250105242|153/ASW/BSM/XII/24|N
ND6TRAN|salesinvoice|value|SLS012|SO2501166093|2025-01-07|SI2501162150|2025-01-08|12|CST4713|CST4713|CST4713||TO||0.0|0.0||||0.0|0.0|0.0|0.0|11.0|0.0|0.0|CR-STW-21|-|63|0|98198.20|0.0|0.0|0.0|20270.27|0.0|NS6033040001908|1545983161604|1545983645652|STNDRSATP|294594.60|0.00|0.00|0.00|20270.27|0.00|0.00|0.00|0.00|30175.68|0.00|0.00|304500.01|21|7|1|0.00||PRM250105242|153/ASW/BSM/XII/24|N
ND6TRAN|salesinvoice|value|SLS012|SO2501166094|2025-01-07|SI2501162151|2025-01-08|12|CST4367|CST4367|CST4367||TO||0.0|0.0||||0.0|0.0|0.0|0.0|11.0|0.0|0.0|CC-CCK-36|-|18|0|195945.95|0.0|0.0|0.0|0.0|0.0|NS6033040001908|1545983161604|1545983645652|STNDRSATP|97972.98|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|10777.03|0.00|0.00|108750.01|36|6|1|0.00||||N
ND6TRAN|salesinvoice|value|SLS012|SO2501166094|2025-01-07|SI2501162151|2025-01-08|12|CST4367|CST4367|CST4367||TO||0.0|0.0||||0.0|0.0|0.0|0.0|11.0|0.0|0.0|CC-KLP-36|-|18|0|195945.95|0.0|0.0|0.0|0.0|0.0|NS6033040001908|1545983161604|1545983645652|STNDRSATP|97972.98|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|10777.03|0.00|0.00|108750.01|36|6|1|0.00||||N
ND6TRAN|salesinvoice|value|SLS012|SO2501166094|2025-01-07|SI2501162151|2025-01-08|12|CST4367|CST4367|CST4367||TO||0.0|0.0||||0.0|0.0|0.0|0.0|11.0|0.0|0.0|CC-MGR-36|-|18|0|195945.95|0.0|0.0|0.0|0.0|0.0|NS6033040001908|1545983161604|1545983645652|STNDRSATP|97972.98|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|10777.03|0.00|0.00|108750.01|36|6|1|0.00||||N
ND6TRAN|salesinvoice|value|SLS012|SO2501166094|2025-01-07|SI2501162151|2025-01-08|12|CST4367|CST4367|CST4367||TO||0.0|0.0||||0.0|0.0|0.0|0.0|11.0|0.0|0.0|CC-SHP-36|-|18|0|195945.95|0.0|0.0|0.0|0.0|0.0|NS6033040001908|1545983161604|1545983645652|STNDRSATP|97972.98|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|10777.03|0.00|0.00|108750.01|36|6|1|0.00||||N
ND6TRAN|salesinvoice|value|SLS012|SO2501166094|2025-01-07|SI2501162151|2025-01-08|12|CST4367|CST4367|CST4367||TO||0.0|0.0||||0.0|0.0|0.0|0.0|11.0|0.0|0.0|CH-PNT-12|-|24|0|81081.08|0.0|0.0|0.0|0.0|0.0|NS6033040001908|1545983161604|1545983645652|STNDRSATP|162162.16|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|17837.84|0.00|0.00|180000.00|12|4|1|0.00||||N
ND6TRAN|salesinvoice|value|SLS012|SO2501166094|2025-01-07|SI2501162151|2025-01-08|12|CST4367|CST4367|CST4367||TO||0.0|0.0||||0.0|0.0|0.0|0.0|11.0|0.0|0.0|CR-CHM-21|-|21|0|98198.20|0.0|0.0|0.0|4504.51|0.0|NS6033040001908|1545983161604|1545983645652|STNDRSATP|98198.20|0.00|0.00|0.00|4504.51|0.00|0.00|0.00|0.00|10306.31|0.00|0.00|104000.00|21|7|1|0.00||PRM250105242|153/ASW/BSM/XII/24|N
ND6TRAN|salesinvoice|value|SLS012|SO2501166094|2025-01-07|SI2501162151|2025-01-08|12|CST4367|CST4367|CST4367||TO||0.0|0.0||||0.0|0.0|0.0|0.0|11.0|0.0|0.0|CR-ORG-21|-|21|0|98198.20|0.0|0.0|0.0|4504.51|0.0|NS6033040001908|1545983161604|1545983645652|STNDRSATP|98198.20|0.00|0.00|0.00|4504.51|0.00|0.00|0.00|0.00|10306.31|0.00|0.00|104000.00|21|7|1|0.00||PRM250105242|153/ASW/BSM/XII/24|N
ND6TRAN|salesinvoice|value|SLS012|SO2501166191|2025-01-08|SI2501162278|2025-01-09|12|CST4775|CST4775|CST4775||TO||0.0|0.0||||0.0|0.0|0.0|0.0|11.0|0.0|0.0|CC-KLP-36|-|18|0|195945.95|0.0|0.0|0.0|0.0|0.0|NS6033040001908|1545983161604|1545983645652|STNDRSATP|97972.98|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|10777.03|0.00|0.00|108750.01|36|6|1|0.00||||N
ND6TRAN|salesinvoice|value|SLS012|SO2501166191|2025-01-08|SI2501162278|2025-01-09|12|CST4775|CST4775|CST4775||TO||0.0|0.0||||0.0|0.0|0.0|0.0|11.0|0.0|0.0|CC-MGR-36|-|12|0|195945.95|0.0|0.0|0.0|0.0|0.0|NS6033040001908|1545983161604|1545983645652|STNDRSATP|65315.32|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|7184.68|0.00|0.00|72500.00|36|6|1|0.00||||N
ND6TRAN|salesinvoice|value|SLS012|SO2501166191|2025-01-08|SI2501162278|2025-01-09|12|CST4775|CST4775|CST4775||TO||0.0|0.0||||0.0|0.0|0.0|0.0|11.0|0.0|0.0|CC-SHP-36|-|6|0|195945.95|0.0|0.0|0.0|0.0|0.0|NS6033040001908|1545983161604|1545983645652|STNDRSATP|32657.66|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|3592.34|0.00|0.00|36250.00|36|6|1|0.00||||N
ND6TRAN|salesinvoice|value|SLS012|SO2501166192|2025-01-08|SI2501162279|2025-01-09|12|CST4852|CST4852|CST4852||TO||0.0|0.0||||0.0|0.0|0.0|0.0|11.0|0.0|0.0|CC-CCK-36|-|36|0|195945.95|0.0|0.0|0.0|0.0|0.0|NS6033040001908|1545983161604|1545983645652|STNDRSATP|195945.95|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|21554.05|0.00|0.00|217500.00|36|6|1|0.00||||N
ND6TRAN|salesinvoice|value|SLS012|SO2501166192|2025-01-08|SI2501162279|2025-01-09|12|CST4852|CST4852|CST4852||TO||0.0|0.0||||0.0|0.0|0.0|0.0|11.0|0.0|0.0|CC-SHP-36|-|36|1|195945.95|0.0|0.0|0.0|0.0|0.0|NS6033040001908|1545983161604|1545983645652|STNDRSATP|195945.95|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|21554.05|0.00|0.00|217500.00|36|6|1|0.00||PRM250105241|106/ASW/BSM/XII/24|N
ND6TRAN|salesinvoice|value|SLS012|SO2501166193|2025-01-08|SI2501162280|2025-01-09|12|CST3639|CST3639|CST3639||TO||0.0|0.0||||0.0|0.0|0.0|0.0|11.0|0.0|0.0|CC-SHP-36|-|180|6|195945.95|0.0|0.0|0.0|0.0|0.0|NS6033040001908|1545983161604|1545983645652|STNDRSATP|979729.75|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|107770.27|0.00|0.00|1087500.02|36|6|1|0.00||PRM250105241|106/ASW/BSM/XII/24|N
ND6TRAN|salesinvoice|value|SLS012|SO2501166193|2025-01-08|SI2501162280|2025-01-09|12|CST3639|CST3639|CST3639||TO||0.0|0.0||||0.0|0.0|0.0|0.0|11.0|0.0|0.0|CR-CBN-21|-|21|0|98198.20|0.0|0.0|0.0|5405.41|0.0|NS6033040001908|1545983161604|1545983645652|STNDRSATP|98198.20|0.00|0.00|0.00|5405.41|0.00|0.00|0.00|0.00|10207.21|0.00|0.00|103000.00|21|7|1|0.00||PRM250105242|153/ASW/BSM/XII/24|N
ND6TRAN|salesinvoice|value|SLS012|SO2501166193|2025-01-08|SI2501162280|2025-01-09|12|CST3639|CST3639|CST3639||TO||0.0|0.0||||0.0|0.0|0.0|0.0|11.0|0.0|0.0|CR-CHM-21|-|21|0|98198.20|0.0|0.0|0.0|5405.41|0.0|NS6033040001908|1545983161604|1545983645652|STNDRSATP|98198.20|0.00|0.00|0.00|5405.41|0.00|0.00|0.00|0.00|10207.21|0.00|0.00|103000.00|21|7|1|0.00||PRM250105242|153/ASW/BSM/XII/24|N
ND6TRAN|salesinvoice|value|SLS012|SO2501166193|2025-01-08|SI2501162280|2025-01-09|12|CST3639|CST3639|CST3639||TO||0.0|0.0||||0.0|0.0|0.0|0.0|11.0|0.0|0.0|CR-CPN-21|-|21|0|98198.20|0.0|0.0|0.0|5405.41|0.0|NS6033040001908|1545983161604|1545983645652|STNDRSATP|98198.20|0.00|0.00|0.00|5405.41|0.00|0.00|0.00|0.00|10207.21|0.00|0.00|103000.00|21|7|1|0.00||PRM250105242|153/ASW/BSM/XII/24|N
ND6TRAN|salesinvoice|value|SLS012|SO2501166193|2025-01-08|SI2501162280|2025-01-09|12|CST3639|CST3639|CST3639||TO||0.0|0.0||||0.0|0.0|0.0|0.0|11.0|0.0|0.0|CR-ORG-21|-|21|0|98198.20|0.0|0.0|0.0|5405.41|0.0|NS6033040001908|1545983161604|1545983645652|STNDRSATP|98198.20|0.00|0.00|0.00|5405.41|0.00|0.00|0.00|0.00|10207.21|0.00|0.00|103000.00|21|7|1|0.00||PRM250105242|153/ASW/BSM/XII/24|N
ND6TRAN|salesinvoice|value|SLS012|SO2501166193|2025-01-08|SI2501162280|2025-01-09|12|CST3639|CST3639|CST3639||TO||0.0|0.0||||0.0|0.0|0.0|0.0|11.0|0.0|0.0|CR-VNL-21|-|21|0|98198.20|0.0|0.0|0.0|5405.41|0.0|NS6033040001908|1545983161604|1545983645652|STNDRSATP|98198.20|0.00|0.00|0.00|5405.41|0.00|0.00|0.00|0.00|10207.21|0.00|0.00|103000.00|21|7|1|0.00||PRM250105242|153/ASW/BSM/XII/24|N
